白茯苓|利水渗湿、健脾宁心|水肿尿少、脾虚食少、心神不安|块状或片状，表面白色或淡棕色，质地坚实，断面颗粒状
白芍|养血调经、柔肝止痛|月经不调、胁痛、自汗盗汗|根圆柱形，表面类白色或淡红棕色，断面平坦，粉性足
白术|健脾益气、燥湿利水|脾虚食少、腹胀泄泻、痰饮眩悸|不规则团块状，表面灰黄色或灰棕色，断面黄白色，有油室
蒲公英|清热解毒、消肿散结|乳痈、目赤肿痛、湿热黄疸|全草皱缩，叶基生，边缘有波状齿，花黄色，种子带白色冠毛
甘草|补脾益气、清热解毒、调和诸药|脾胃虚弱、咳嗽痰多|圆柱形，外皮红棕色或灰棕色，断面黄白色，纤维性强
栀子|泻火除烦、清热利湿|热病心烦、黄疸、血热吐衄|椭圆形或长卵形，表面红黄色，有6条纵棱，种子扁圆形
党参|补中益气、健脾益肺|脾肺虚弱、气短心悸、食少便溏|长圆柱形，表面黄棕色，根头部有疣状突起，断面黄白色
桃仁|活血祛瘀、润肠通便|经闭痛经、肠燥便秘|扁卵形，表面黄棕色，一端尖，另端钝圆，种皮薄
去皮桃仁|活血祛瘀、润肠通便（药性更纯）|经闭痛经、肠燥便秘|去种皮后呈乳白色，光滑，质地脆
地肤子|清热利湿、祛风止痒|小便不利、皮肤瘙痒|扁球形，灰绿色或淡棕色，表面有网状皱纹
牡丹皮|清热凉血、活血化瘀|温毒发斑、血热吐衄|筒状或半筒状，外皮灰褐色，内表面淡棕色，有结晶
冬虫夏草|补肺益肾、止血化痰|久咳虚喘、阳痿遗精|虫体似蚕，表面深黄色，头部有子座，断面白色
杜仲|补肝肾、强筋骨|腰膝酸痛、胎动不安|板片状，外皮灰褐色，断面有银白色胶丝相连
当归|补血活血、调经止痛|血虚萎黄、月经不调|圆柱形，表面黄棕色，断面黄白色，有油点
杏仁|止咳平喘、润肠通便|咳嗽气喘、肠燥便秘|扁心形，表面黄棕色，种皮薄，味苦（苦杏仁）或甜（甜杏仁）
何首乌|补肝肾、益精血|须发早白、腰膝酸软|团块状，表面红棕色，断面有云锦花纹
黄精|补气养阴、健脾润肺|脾胃虚弱、肺虚咳嗽|结节状，表面黄白色，断面角质样，味甜
鸡血藤|活血补血、舒筋活络|月经不调、风湿痹痛|扁圆柱形，表面灰棕色，断面有红褐色树脂状分泌物
枸杞|滋补肝肾、益精明目|虚劳精亏、腰膝酸痛|椭圆形或纺锤形，表面鲜红色或暗红色，味甜
莲须|固肾涩精|遗精滑精、带下尿频|细丝状，淡黄色，质轻，气清香
莲肉|补脾止泻、益肾固精|脾虚久泻、遗精带下|椭圆形，种皮红棕色，去壳后呈黄白色
麦门冬|养阴生津、润肺清心|肺燥干咳、心烦失眠|纺锤形，表面黄白色，半透明，断面角质样
木通|利尿通淋、通经下乳|湿热淋证、乳汁不下|圆柱形，表面灰褐色，断面有放射状纹理
玉竹|养阴润燥、生津止渴|肺胃阴伤、燥热咳嗽|长圆柱形，表面黄白色，断面角质样，味甜
女贞子|滋补肝肾、明目乌发|眩晕耳鸣、腰膝酸软|椭圆形或卵形，表面黑紫色，皱缩
肉苁蓉|补肾阳、益精血|阳痿不孕、肠燥便秘|扁圆柱形，表面棕褐色，断面有放射状纹理
人参|大补元气、复脉固脱|体虚欲脱、脾虚食少|主根圆柱形，表面灰黄色，断面黄白色，有环纹
乌梅|敛肺涩肠、生津安蛔|久咳久泻、虚热消渴|类球形，表面乌黑色，皱缩，味极酸
覆盆子|益肾固精、缩尿|遗精滑精、尿频遗尿|聚合果，红色或暗红色，表面有绒毛
瓜蒌皮|清热化痰、利气宽胸|痰热咳嗽、胸痹心痛|不规则片状，外表面橙黄色，内表面黄白色
肉桂|补火助阳、散寒止痛|阳痿宫冷、腰膝冷痛|槽状或卷筒状，外表面灰棕色，内表面红棕色，气香浓
山茱萸|补益肝肾、涩精固脱|眩晕耳鸣、遗尿尿频|果肉皱缩，紫红色，味酸涩
山药|补脾养胃、生津益肺|脾虚食少、肺虚喘咳|圆柱形，表面黄白色，断面白色，粉性强
酸枣仁|养心益肝、安神敛汗|虚烦不眠、惊悸多梦|扁圆形，表面紫红色，平滑有光泽
桑白皮|泻肺平喘、利水消肿|肺热喘咳、水肿胀满|扭曲的卷筒状，外表面白色或淡黄色，纤维性强
山楂|消食健胃、行气散瘀|肉食积滞、产后瘀阻|类球形，表面红色，有灰白色小斑点
天麻|息风止痉、平抑肝阳|头痛眩晕、小儿惊风|长椭圆形，表面黄白色，断面角质样，有环纹
熟地黄|补血滋阴、益精填髓|血虚萎黄、肝肾阴虚|不规则块状，表面乌黑色，有光泽，味甜
小茴香|散寒止痛、理气和胃|寒疝腹痛、睾丸偏坠|长椭圆形，表面黄绿色，有纵棱，气芳香
泽泻|利水渗湿、泄热|小便不利、水肿胀满|类球形，表面黄白色，断面颗粒性
竹茹|清热化痰、除烦止呕|痰热咳嗽、胆火挟痰|丝条状，卷曲成团，浅绿色或黄白色
川贝母|清热润肺、化痰止咳|肺热燥咳、干咳少痰|圆锥形，表面类白色，外层鳞叶大小悬殊
川芎|活血行气、祛风止痛|月经不调、头痛风湿痹痛|结节状拳形团块，表面黄褐色，断面有波状环纹
玄参|清热凉血、滋阴降火|温毒发斑、目赤咽痛|圆锥形，表面灰黄色，断面黑色，微有光泽
益智仁|温脾止泻、摄唾涎|脾寒泄泻、口多涎唾|椭圆形，表面棕色，有纵向凹凸棱线
