时间,药材名称,置信度,"位置(x1,y1,x2,y2)"
2025-07-02 17:09:45,枸杞,0.9393,[4.76196289e-01 0.00000000e+00 6.40000000e+02 4.73929306e+02]
2025-07-02 17:10:04,枸杞,0.9393,[4.76196289e-01 0.00000000e+00 6.40000000e+02 4.73929306e+02]
2025-07-02 17:10:47,白术,0.7945,[365.60865784   0.         639.39379883 474.55830383]
2025-07-02 17:10:47,枸杞,0.4195,[ 13.51937866  90.52301025 225.10009003 398.75569153]
2025-07-02 19:22:41,枸杞,0.9133,[  1.32254028   0.         640.         463.52682495]
2025-07-05 18:02:19,枸杞,0.9467,[1.32537842e-01 0.00000000e+00 6.40000000e+02 4.64714157e+02]
2025-07-06 13:17:37,枸杞,0.9282,[4.72717285e-02 0.00000000e+00 6.40000000e+02 4.80000000e+02]
2025-07-06 13:32:48,枸杞,0.9467,[8.10241699e-02 3.49273682e-02 6.40000000e+02 4.64688202e+02]
2025-07-06 13:44:28,莲肉,0.7685,[222.50254822 167.49365997 412.32172775 319.78473663]
2025-07-06 13:46:25,白术,0.3638,[185.33538818 126.17758179 415.60379791 329.90209961]
2025-07-06 13:48:52,栀子,0.9393,[ 99.06063652  58.70554972 726.35219479 526.32694101]
2025-07-08 16:29:27,白茯苓,0.8188,[196.77471161 167.08471298 437.36467838 340.35129547]
2025-07-08 16:35:20,白茯苓,0.8113,[198.01382065 170.05867958 435.83779335 338.26953888]
2025-07-08 16:38:37,白茯苓,0.8337,[182.39042282 159.97355938 443.00976753 343.8253212 ]
2025-07-08 16:38:57,莲肉,0.8002,[130.96390533 119.53401947 297.51844788 238.59111786]
2025-07-09 09:37:30,白茯苓,0.8746,[188.8136673  312.48724461 423.99625778 517.26457596]
